image_path,clean_class
data\raw\potato\Potato___Early_blight\cfd3112d-e376-4b82-bc06-de0bfba0ab41___RS_Early.B 8389.JPG,Early Blight
data\raw\potato\Potato___Early_blight\dcdcc724-b029-4987-9d12-ccc8893ac6b4___RS_Early.B 8387.JPG,Early Blight
data\raw\potato\Potato___Early_blight\20421747-c083-48a1-aed5-b1097ae50491___RS_Early.B 8203.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4bac4925-72ff-43e7-8726-5e2126c6c30d___RS_Early.B 8206.JPG,Early Blight
data\raw\potato\Potato___Early_blight\5fd6c76a-1e89-4991-9991-2b61670d5175___RS_Early.B 8208.JPG,Early Blight
data\raw\potato\Potato___Early_blight\fba7a41d-25df-4a1c-93d1-98d62e3376e0___RS_Early.B 8207.JPG,Early Blight
data\raw\potato\Potato___Late_blight\5e8203e5-b699-4d5a-acb5-08a5f06ee984___RS_LB 5291.JPG,Late Blight
data\raw\potato\Potato___Late_blight\80a20af8-9759-4c07-8d0c-d48edc9925c6___RS_LB 5289.JPG,Late Blight
data\raw\potato\Potato___Late_blight\b0eebb8f-c322-4b56-8897-2cc98d474440___RS_LB 5286.JPG,Late Blight
data\raw\potato\Potato___Late_blight\dd9b9122-fd29-4986-9dc3-330d4a48ccc3___RS_LB 5290.JPG,Late Blight
data\raw\potato\Potato___healthy\4bbccfb6-5720-4c80-9b37-0c3ed8999c9f___RS_HL 1791.JPG,Healthy
data\raw\potato\Potato___healthy\57c2663b-5d1d-4476-b067-38b2149c3b2d___RS_HL 1796.JPG,Healthy
data\raw\potato\Potato___healthy\5cb360dd-5c17-4c57-b31d-97cd8dd8d0bd___RS_HL 1797.JPG,Healthy
data\raw\potato\Potato___healthy\bf2bffbb-cd8f-4d36-bd58-847808397c75___RS_HL 1786.JPG,Healthy
data\raw\potato\Potato___Late_blight\c6c8843f-6b36-472a-9a87-bf1a235e08b6___RS_LB 5136.JPG,Late Blight
data\raw\potato\Potato___Late_blight\d994fd7e-a338-42c5-ac37-ede01c18999e___RS_LB 5134.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e465af98-028c-4222-b300-d9688b613d89___RS_LB 5137.JPG,Late Blight
data\raw\potato\Potato___Late_blight\fe93615b-4160-4956-a65c-cdbc79af2052___RS_LB 5131.JPG,Late Blight
data\raw\potato\Potato___Early_blight\283134dd-8b32-447e-8e82-547d3b69f4d4___RS_Early.B 7494.JPG,Early Blight
data\raw\potato\Potato___Early_blight\2f81d148-c62f-4d3c-baf4-72b77abea41a___RS_Early.B 7493.JPG,Early Blight
data\raw\potato\Potato___Early_blight\a8933319-d98e-4e71-a2ac-e22f7e1bca08___RS_Early.B 7499.JPG,Early Blight
data\raw\potato\Potato___Early_blight\b5127f55-debe-459a-98e5-4629750f9c38___RS_Early.B 7496.JPG,Early Blight
data\raw\potato\Potato___Late_blight\5b12fde1-fe3a-49fe-8430-479775018322___RS_LB 3071.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9f9623f9-e632-4342-b698-95a0521953f9___RS_LB 3068.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e6d7f5aa-d176-4e43-9e0c-afc2901442f6___RS_LB 3066.JPG,Late Blight
data\raw\potato\Potato___Late_blight\f9d861a9-0217-4de2-844f-fd23ccaa9def___RS_LB 3067.JPG,Late Blight
data\raw\potato\Potato___Late_blight\265e32dc-44f3-40f8-8c5d-8bc223dd0f52___RS_LB 4859.JPG,Late Blight
data\raw\potato\Potato___Late_blight\6750f885-4754-4e76-91d0-a5e77c86e9fd___RS_LB 4865.JPG,Late Blight
data\raw\potato\Potato___Late_blight\d94eae91-7d2e-4394-b892-8c8c7fa9cf11___RS_LB 4864.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e2d4d58b-8754-4c63-b888-8355ddbcb989___RS_LB 4863.JPG,Late Blight
data\raw\potato\Potato___Early_blight\2d149f7a-4b0a-40a6-8d0b-1d1f14e5e696___RS_Early.B 9143.JPG,Early Blight
data\raw\potato\Potato___Early_blight\769b00f1-f5cf-4dee-a2c6-6e97414450f6___RS_Early.B 9149.JPG,Early Blight
data\raw\potato\Potato___Early_blight\d4cd2357-1142-4f0c-8c44-201241a27573___RS_Early.B 9146.JPG,Early Blight
data\raw\potato\Potato___Early_blight\dbe05365-9166-45f7-94cf-cefca787215a___RS_Early.B 9144.JPG,Early Blight
data\raw\potato\Potato___Late_blight\0f1fb568-1b12-45ef-ad99-c59fa9075693___RS_LB 3242.JPG,Late Blight
data\raw\potato\Potato___Late_blight\3d544e81-b7f3-4853-bb65-c78b125d1a6a___RS_LB 3238.JPG,Late Blight
data\raw\potato\Potato___Late_blight\ae966e38-73b3-47c1-9421-20ac2f570f46___RS_LB 3240.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c3cd2ad3-174e-48b4-a7a5-ce63be745fd5___RS_LB 3243.JPG,Late Blight
data\raw\potato\Potato___Late_blight\0201bf8e-27e3-4c92-ae97-2fb4f665b5d3___RS_LB 4320.JPG,Late Blight
data\raw\potato\Potato___Late_blight\2577b25b-c0ac-442b-8093-42e6490bad1e___RS_LB 4319.JPG,Late Blight
data\raw\potato\Potato___Late_blight\4a5c555b-3f00-4553-b6a4-3be268969d7f___RS_LB 4323.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c77d14df-faac-47e9-97e1-fc84a7aa6e74___RS_LB 4322.JPG,Late Blight
data\raw\potato\Potato___Early_blight\12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,Early Blight
data\raw\potato\Potato___Early_blight\422fa1a6-d0f7-4634-9233-0d002ff139ae___RS_Early.B 7218.JPG,Early Blight
data\raw\potato\Potato___Early_blight\53257270-67b3-4408-aaec-abbd9f5f19f0___RS_Early.B 7212.JPG,Early Blight
data\raw\potato\Potato___Early_blight\5ada96db-43de-4510-8c10-eaaebb106c0c___RS_Early.B 7216.JPG,Early Blight
data\raw\potato\Potato___Late_blight\377e9523-f375-4c0c-9d66-5abf2abfaefb___RS_LB 2504.JPG,Late Blight
data\raw\potato\Potato___Late_blight\4afd8bf6-0e1e-4a85-a576-1e8995c88d5c___RS_LB 2505.JPG,Late Blight
data\raw\potato\Potato___Late_blight\ea2bb076-a483-4570-88ac-8ab236d4bb92___RS_LB 2503.JPG,Late Blight
data\raw\potato\Potato___Late_blight\f973bbe0-ce70-4215-8d5b-9e7adc099261___RS_LB 2507.JPG,Late Blight
data\raw\potato\Potato___Early_blight\495e73a1-0f61-43a6-b539-d7f74e3fbf71___RS_Early.B 8245.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7a8f295d-dc08-4a25-ba7a-28995729b6b6___RS_Early.B 8243.JPG,Early Blight
data\raw\potato\Potato___Early_blight\c777a0ce-5d2b-4e87-8cc4-d5f8847a4553___RS_Early.B 8239.JPG,Early Blight
data\raw\potato\Potato___Early_blight\fdc1f5ed-66b5-4564-8957-055905b8a569___RS_Early.B 8244.JPG,Early Blight
data\raw\potato\Potato___healthy\2ccb9ee9-faac-4d32-9af5-29497fa2e028___RS_HL 1837.JPG,Healthy
data\raw\potato\Potato___healthy\dbe4f332-9189-4b76-b30c-f0c9a55e48d3___RS_HL 1841.JPG,Healthy
data\raw\potato\Potato___healthy\e1b49d1b-165b-4f4e-8a30-735e62bc39c5___RS_HL 1839.JPG,Healthy
data\raw\potato\Potato___healthy\f5bd2732-197b-4d8e-bb50-a4966dc416f5___RS_HL 1840.JPG,Healthy
data\raw\potato\Potato___Early_blight\31d5d932-9eb3-45d1-bc85-40ef64d7a688___RS_Early.B 7255.JPG,Early Blight
data\raw\potato\Potato___Early_blight\477c3ef0-ab1e-44fb-852d-6b3ce74c93a2___RS_Early.B 7257.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4b484f0f-82dc-45d1-a5b6-72c8a6a96323___RS_Early.B 7262.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7fb3dc5c-f90b-46fe-8eb6-2d21038976ff___RS_Early.B 7256.JPG,Early Blight
data\raw\potato\Potato___Early_blight\13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,Early Blight
data\raw\potato\Potato___Early_blight\1a77c047-7ed8-4f02-bfaf-a19e7a67c3dd___RS_Early.B 7076.JPG,Early Blight
data\raw\potato\Potato___Early_blight\8df7a062-73d6-468e-8354-baa641dd69b3___RS_Early.B 7072.JPG,Early Blight
data\raw\potato\Potato___Early_blight\d5c51ec6-506e-4b85-b774-66f6a5493c90___RS_Early.B 7071.JPG,Early Blight
data\raw\potato\Potato___Late_blight\7b32b8b9-6b65-44e6-a3e5-edd7a5d62ec4___RS_LB 4142.JPG,Late Blight
data\raw\potato\Potato___Late_blight\87681326-2843-4e63-9042-602b08a98a66___RS_LB 4145.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9934bde8-1c89-4ba6-95e6-015a69540873___RS_LB 4146.JPG,Late Blight
data\raw\potato\Potato___Late_blight\d648ee66-d38a-4df0-8696-c6fe5490a15b___RS_LB 4144.JPG,Late Blight
data\raw\potato\Potato___Late_blight\28cbad12-8d41-4d36-a6df-db0d35ee1ce0___RS_LB 2922.JPG,Late Blight
data\raw\potato\Potato___Late_blight\6522615a-cbe1-4770-a137-25a2c081e1d9___RS_LB 2917.JPG,Late Blight
data\raw\potato\Potato___Late_blight\6a6315ef-b37d-4067-80cd-bb2d8adf93ca___RS_LB 2919.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c16b698a-77b9-48f7-943a-457d475242ef___RS_LB 2918.JPG,Late Blight
data\raw\potato\Potato___Early_blight\34b0f33c-be8b-4338-9334-5418a5f84f28___RS_Early.B 7532.JPG,Early Blight
data\raw\potato\Potato___Early_blight\6bca5c10-8985-404c-96c3-3f77c2a77d10___RS_Early.B 7527.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7a84da2c-6c10-483f-9994-69aeedc21a57___RS_Early.B 7534.JPG,Early Blight
data\raw\potato\Potato___Early_blight\e8db5472-3858-478a-b1ae-9198329a49a5___RS_Early.B 7528.JPG,Early Blight
data\raw\potato\Potato___Late_blight\4664efe7-50ae-4a32-b818-2ec7f3881471___RS_LB 4478.JPG,Late Blight
data\raw\potato\Potato___Late_blight\66473aff-3438-4a8c-8c05-5fed8a4255ae___RS_LB 4473.JPG,Late Blight
data\raw\potato\Potato___Late_blight\80e39105-97cd-4368-9e3a-b5498ae1c0a2___RS_LB 4474.JPG,Late Blight
data\raw\potato\Potato___Late_blight\b294595b-8950-4e5b-8dfc-2ad9ca2c5e0a___RS_LB 4475.JPG,Late Blight
data\raw\potato\Potato___Late_blight\51a85617-5433-4a07-b822-fa1975cf76b1___RS_LB 4778.JPG,Late Blight
data\raw\potato\Potato___Late_blight\8542cb42-d817-4850-b42f-1fa7083e37d9___RS_LB 4780.JPG,Late Blight
data\raw\potato\Potato___Late_blight\929dd251-5fbb-406f-9313-a71e5f96b31c___RS_LB 4781.JPG,Late Blight
data\raw\potato\Potato___Late_blight\faf67766-afc0-4f41-af0b-a3971fe325c7___RS_LB 4777.JPG,Late Blight
data\raw\potato\Potato___Early_blight\04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,Early Blight
data\raw\potato\Potato___Early_blight\ac40d7e9-e650-40f1-b894-22f495febefd___RS_Early.B 7276.JPG,Early Blight
data\raw\potato\Potato___Early_blight\f2e7be26-b7d3-4e99-8630-8b1650192b02___RS_Early.B 7275.JPG,Early Blight
data\raw\potato\Potato___Early_blight\fc87399a-b45c-4b0f-a6c9-54f0e4f9d3c5___RS_Early.B 7277.JPG,Early Blight
data\raw\potato\Potato___Late_blight\09287918-9f73-4707-823f-f4331f5114a3___RS_LB 2604.JPG,Late Blight
data\raw\potato\Potato___Late_blight\36c25644-54cb-405d-abef-700d24652958___RS_LB 2606.JPG,Late Blight
data\raw\potato\Potato___Late_blight\8a2f2feb-3738-4675-9cb6-b1911a056dd1___RS_LB 2601.JPG,Late Blight
data\raw\potato\Potato___Late_blight\def9c9e1-fd12-44d9-92ae-18c5ff0f52da___RS_LB 2605.JPG,Late Blight
data\raw\potato\Potato___Late_blight\a34d3777-22c7-4723-8b85-f766e042c121___RS_LB 4375.JPG,Late Blight
data\raw\potato\Potato___Late_blight\a904edc1-4c4d-4171-a46e-ae914010884b___RS_LB 4373.JPG,Late Blight
data\raw\potato\Potato___Late_blight\dcf61d08-eda8-41c1-9293-43895d68b426___RS_LB 4372.JPG,Late Blight
data\raw\potato\Potato___Late_blight\fb13e4c8-17e4-48a9-899b-dfc7f302196c___RS_LB 4374.JPG,Late Blight
data\raw\potato\Potato___Early_blight\37d94308-8783-4657-9ca6-eaca86e1015a___RS_Early.B 7825.JPG,Early Blight
data\raw\potato\Potato___Early_blight\610fd102-fd1b-45c3-978b-68c65d432382___RS_Early.B 7819.JPG,Early Blight
data\raw\potato\Potato___Early_blight\61da9830-ebfd-483a-88dd-a66fcff4c457___RS_Early.B 7817.JPG,Early Blight
data\raw\potato\Potato___Early_blight\ba5dfd98-89d6-49d5-b398-beb05cb9d8ad___RS_Early.B 7824.JPG,Early Blight
data\raw\potato\Potato___Late_blight\1757f48b-435b-4c4a-9de6-47b959ed1e67___RS_LB 5295.JPG,Late Blight
data\raw\potato\Potato___Late_blight\31c96e0d-0a6a-42b4-bd7a-0faf2c8e462d___RS_LB 5298.JPG,Late Blight
data\raw\potato\Potato___Late_blight\5e0acf9e-2d13-40bb-912c-e32a844fdd78___RS_LB 5292.JPG,Late Blight
data\raw\potato\Potato___Late_blight\87c99be5-a930-410f-8529-e79e030cba0c___RS_LB 5294.JPG,Late Blight
data\raw\potato\Potato___Early_blight\10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,Early Blight
data\raw\potato\Potato___Early_blight\25703c4f-ec40-4099-b249-a4fd07b07752___RS_Early.B 7040.JPG,Early Blight
data\raw\potato\Potato___Early_blight\59676e33-8884-4359-83d9-e07df07f31a1___RS_Early.B 7041.JPG,Early Blight
data\raw\potato\Potato___Early_blight\ec6b34ed-69c6-466a-81a9-4ca18eb25275___RS_Early.B 7038.JPG,Early Blight
data\raw\potato\Potato___Late_blight\22bd2a18-a4ba-4c9a-a4d3-2dabc295ccbc___RS_LB 4759.JPG,Late Blight
data\raw\potato\Potato___Late_blight\76be1a95-8bf1-468e-bc6c-f7d8fa5b7e5b___RS_LB 4758.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9a179173-fbfb-4e92-9959-58b826625c9b___RS_LB 4761.JPG,Late Blight
data\raw\potato\Potato___Late_blight\cf2e3e15-2284-474a-a36a-b102aa7d50cc___RS_LB 4760.JPG,Late Blight
data\raw\potato\Potato___Late_blight\1c6ec55e-182e-4b7c-b416-07029edfc970___RS_LB 3950.JPG,Late Blight
data\raw\potato\Potato___Late_blight\1e1fde7a-c535-49fd-9670-629f7fb9cb3d___RS_LB 3949.JPG,Late Blight
data\raw\potato\Potato___Late_blight\629303c0-a89e-4f67-9ac8-aa769cf3a163___RS_LB 3945.JPG,Late Blight
data\raw\potato\Potato___Late_blight\7d885e39-d832-473f-bf81-c22855e481c3___RS_LB 3946.JPG,Late Blight
data\raw\potato\Potato___Late_blight\37075adc-dd51-4a5b-8a6c-0649cb98516b___RS_LB 2678.JPG,Late Blight
data\raw\potato\Potato___Late_blight\55c87fde-32cc-474c-a25a-1846d39aa6f4___RS_LB 2683.JPG,Late Blight
data\raw\potato\Potato___Late_blight\cd38f533-9b7d-4afd-bbd9-9ee5ab2aa3e8___RS_LB 2680.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e9429874-1098-43af-bc38-0acc0b93f4f9___RS_LB 2682.JPG,Late Blight
data\raw\potato\Potato___Early_blight\17756ec1-9c95-43b3-bedc-933b6e0887f3___RS_Early.B 8251.JPG,Early Blight
data\raw\potato\Potato___Early_blight\34d2260c-888c-419c-b32c-938efa379b97___RS_Early.B 8253.JPG,Early Blight
data\raw\potato\Potato___Early_blight\5bb77b39-311b-4ad1-8bfc-5a41a13b7b02___RS_Early.B 8255.JPG,Early Blight
data\raw\potato\Potato___Early_blight\e4b0f6ac-2b1e-4e10-8733-de421a01c390___RS_Early.B 8254.JPG,Early Blight
data\raw\potato\Potato___Late_blight\9caba61f-ea63-4ea5-9d85-1f22b6a1a006___RS_LB 4451.JPG,Late Blight
data\raw\potato\Potato___Late_blight\b9302a2f-a369-4b05-aed6-632287f42ed7___RS_LB 4452.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e439b96c-2ff6-4d53-b8f0-1ed720536b0c___RS_LB 4449.JPG,Late Blight
data\raw\potato\Potato___Late_blight\eb34280e-0cfb-4166-a9b8-a15892c9ff5c___RS_LB 4450.JPG,Late Blight
data\raw\potato\Potato___Early_blight\0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,Early Blight
data\raw\potato\Potato___Early_blight\31290247-3f4f-445d-8bad-20d7dccbf979___RS_Early.B 7019.JPG,Early Blight
data\raw\potato\Potato___Early_blight\8435fd63-0136-44f9-8dd4-6ca27bcddd97___RS_Early.B 7017.JPG,Early Blight
data\raw\potato\Potato___Early_blight\f89d5362-f38f-4acf-8fca-2ea154c07cce___RS_Early.B 7018.JPG,Early Blight
data\raw\potato\Potato___Early_blight\1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Early Blight
data\raw\potato\Potato___Early_blight\a3ed964c-36f1-403c-8146-b2a3b79a352d___RS_Early.B 8310.JPG,Early Blight
data\raw\potato\Potato___Early_blight\d063f825-aa36-4cfd-a227-4c3f30760aa2___RS_Early.B 8307.JPG,Early Blight
data\raw\potato\Potato___Early_blight\d5673be4-4d62-4287-b9a4-3653b88d1604___RS_Early.B 8304.JPG,Early Blight
data\raw\potato\Potato___Late_blight\23ad201a-469e-4687-9321-7329bf747992___RS_LB 4990.JPG,Late Blight
data\raw\potato\Potato___Late_blight\2c3eddb8-f475-42ce-af72-81271630ba07___RS_LB 4991.JPG,Late Blight
data\raw\potato\Potato___Late_blight\465669d7-b75c-4aab-8ccc-af3566baf2e3___RS_LB 4985.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9001b18c-b659-4c56-9dfb-0d0bf64a7b4a___RS_LB 4987.JPG,Late Blight
data\raw\potato\Potato___Late_blight\1c207156-339d-4ec9-9153-9edb3bc95b5f___RS_LB 4833.JPG,Late Blight
data\raw\potato\Potato___Late_blight\aceeb511-1332-4d25-b9fe-64d53445396a___RS_LB 4837.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c970a188-e4e6-43cd-aff7-d0ac40d378dc___RS_LB 4834.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e25a378e-0aa3-4ac6-b0b1-281a500b9502___RS_LB 4835.JPG,Late Blight
data\raw\potato\Potato___Late_blight\38d82b6e-16ec-4ac6-b42f-29ff524b4e43___RS_LB 5269.JPG,Late Blight
data\raw\potato\Potato___Late_blight\6ce76067-e78f-42e3-a1d6-c04f92414038___RS_LB 5267.JPG,Late Blight
data\raw\potato\Potato___Late_blight\8ee9f477-92a7-43a0-9377-0535b218a21d___RS_LB 5266.JPG,Late Blight
data\raw\potato\Potato___Late_blight\bb81b8a0-3d1e-4cef-aeb5-31ac32f1761a___RS_LB 5268.JPG,Late Blight
data\raw\potato\Potato___Early_blight\096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Early Blight
data\raw\potato\Potato___Early_blight\2446ca09-aa29-4ae4-8d34-45115c32cde7___RS_Early.B 8971.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4699d1d8-f931-4b1c-8fd4-03a58350a86d___RS_Early.B 8972.JPG,Early Blight
data\raw\potato\Potato___Early_blight\f12d7916-b4f0-46f7-91bd-8dc097743149___RS_Early.B 8963.JPG,Early Blight
data\raw\potato\Potato___Late_blight\64fd9d16-28df-4dd7-9bb5-973bbd9ac6db___RS_LB 4654.JPG,Late Blight
data\raw\potato\Potato___Late_blight\72e10017-f8a6-4813-8036-0cde4dad6057___RS_LB 4666.JPG,Late Blight
data\raw\potato\Potato___Late_blight\cf979c44-abfa-4ed3-865e-ee0c204ba9f0___RS_LB 4662.JPG,Late Blight
data\raw\potato\Potato___Late_blight\d7fdf2fa-8a55-4ff5-86a2-ca73c5883e93___RS_LB 4665.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c48719ce-1230-465b-b481-177b7e0f7074___RS_LB 3835.JPG,Late Blight
data\raw\potato\Potato___Late_blight\c6d1bbe7-c1d8-4760-9bb2-a97eac1ca0a8___RS_LB 3838.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e986907b-6948-4c72-93d3-29cb795cc9a1___RS_LB 3837.JPG,Late Blight
data\raw\potato\Potato___Late_blight\ebd47dca-590b-43c4-812d-32f95b776690___RS_LB 3834.JPG,Late Blight
data\raw\potato\Potato___Early_blight\12f7b8bd-7aab-48de-ba2e-d2562408542f___RS_Early.B 7386.JPG,Early Blight
data\raw\potato\Potato___Early_blight\1af20ff8-980d-4912-b337-804b09667de3___RS_Early.B 7392.JPG,Early Blight
data\raw\potato\Potato___Early_blight\cac99520-3403-4602-961d-3a668bb980fb___RS_Early.B 7388.JPG,Early Blight
data\raw\potato\Potato___Early_blight\e11d63b8-93fa-41ba-b826-99811ee4c232___RS_Early.B 7387.JPG,Early Blight
data\raw\potato\Potato___Late_blight\0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB 4857.JPG,Late Blight
data\raw\potato\Potato___Late_blight\1736a728-bae9-4133-bfca-60a7c3b6382c___RS_LB 4855.JPG,Late Blight
data\raw\potato\Potato___Late_blight\2e18248f-e251-44c0-b9a5-a198455f43ee___RS_LB 4858.JPG,Late Blight
data\raw\potato\Potato___Late_blight\3c20c90a-788c-4d06-acdb-107f695d901b___RS_LB 4856.JPG,Late Blight
data\raw\potato\Potato___Early_blight\3d3c01e1-8cde-4c0f-9468-67dd287a2dc0___RS_Early.B 7761.JPG,Early Blight
data\raw\potato\Potato___Early_blight\77c86eac-945e-4942-8eab-1269373d645a___RS_Early.B 7755.JPG,Early Blight
data\raw\potato\Potato___Early_blight\8994b76b-6e1e-42d3-b07c-99abca3fa35b___RS_Early.B 7762.JPG,Early Blight
data\raw\potato\Potato___Early_blight\907f26c5-5996-41b3-877b-7de6122699a9___RS_Early.B 7758.JPG,Early Blight
data\raw\potato\Potato___Early_blight\25642761-2905-48af-b8da-1064a0f6b876___RS_Early.B 6831.JPG,Early Blight
data\raw\potato\Potato___Early_blight\2cc3eb24-b210-4827-befe-0e3a24161ac4___RS_Early.B 6829.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4be99b40-e269-4c69-8c90-ac75514650af___RS_Early.B 6830.JPG,Early Blight
data\raw\potato\Potato___Early_blight\737c2343-228f-4155-b984-13ae0da44745___RS_Early.B 6828.JPG,Early Blight
data\raw\potato\Potato___Late_blight\059c9129-51b7-4d6b-9b57-f22e87568a0a___RS_LB 5118.JPG,Late Blight
data\raw\potato\Potato___Late_blight\a69b634c-1bb1-4098-9da0-8393f9b8d6e1___RS_LB 5120.JPG,Late Blight
data\raw\potato\Potato___Late_blight\a8db407c-12cb-460c-991a-8f60d20c06bc___RS_LB 5117.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e766a563-c87a-4d14-ae00-898ce62e15d4___RS_LB 5123.JPG,Late Blight
data\raw\potato\Potato___Late_blight\025f3c76-6d6c-4dad-ba22-e3e72d084ef1___RS_LB 3105.JPG,Late Blight
data\raw\potato\Potato___Late_blight\2657bf2b-c03e-4ec6-bf6a-4afe8645acec___RS_LB 3110.JPG,Late Blight
data\raw\potato\Potato___Late_blight\6d22d4ab-de5f-4944-96f9-4ec495a8e4f1___RS_LB 3109.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9d0f96e2-93c7-4202-b1d1-6f878c066be7___RS_LB 3106.JPG,Late Blight
data\raw\potato\Potato___Early_blight\0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7f0c3ad4-67f7-4a6e-81da-5cdbe1c5ff8b___RS_Early.B 8453.JPG,Early Blight
data\raw\potato\Potato___Early_blight\b76550de-8e3a-46f1-b06f-6bd4ed3dc8a5___RS_Early.B 8456.JPG,Early Blight
data\raw\potato\Potato___Early_blight\ef5b06f0-4c81-4e47-9ec3-499af1571d9e___RS_Early.B 8455.JPG,Early Blight
data\raw\potato\Potato___Early_blight\2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,Early Blight
data\raw\potato\Potato___Early_blight\541b768f-ec74-4f60-8e5a-778a5eb359da___RS_Early.B 8647.JPG,Early Blight
data\raw\potato\Potato___Early_blight\ae38f458-d36e-43ce-95a5-45b775692d8d___RS_Early.B 8644.JPG,Early Blight
data\raw\potato\Potato___Early_blight\c5cb3e89-f00f-4032-80ca-eb39bead0796___RS_Early.B 8645.JPG,Early Blight
data\raw\potato\Potato___Early_blight\1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,Early Blight
data\raw\potato\Potato___Early_blight\419611a4-5597-43d6-ae92-c3c09bc549d7___RS_Early.B 7182.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,Early Blight
